,Open,High,Low,Close,Volume,7-day MA,30-day MA,Daily Return,Day,Predicted Close,Upper Band,Lower Band
2024-08-21,226.52,227.98,225.05,226.4,34765480.0,224.65142857142857,,-0.0004856297735198467,34,221.99974691696477,230.433714251016,207.441285748984
2024-08-22,227.79,228.34,223.9,224.53,43695321.0,225.11714285714288,,-0.008259717314487602,35,222.1142418266335,231.02766712133632,207.5513328786637
2024-08-23,225.6589,228.22,224.33,226.84,38677250.0,225.84857142857143,,0.010288157484523275,36,222.2287367363022,231.9230248817214,207.54397511827858
2024-08-26,226.76,227.28,223.8905,227.18,30602208.0,226.20000000000002,,0.0014988538176687882,39,222.57222146530836,232.78793385550972,207.57306614449033
2024-08-27,225.995,228.85,224.89,228.03,35934559.0,226.48285714285717,,0.003741526542829554,40,222.68671637497707,233.70419389971238,207.5798061002876
2024-08-28,227.92,229.86,225.68,226.49,38052167.0,226.56857142857143,220.92733333333334,-0.006753497346840276,41,222.80121128464577,234.17342289892224,207.55157710107778
2024-08-29,230.1,232.92,228.88,229.79,51906297.0,227.03714285714287,221.11433333333332,0.014570179698882857,42,222.9157061943145,235.26389652509138,207.60410347490856
2024-08-30,230.19,230.4,227.48,229.0,52990770.0,227.40857142857143,221.27066666666667,-0.003437921580573544,43,223.03020110398322,236.10073409877515,207.68126590122483
2024-09-03,228.55,229.0,221.17,222.77,50190574.0,227.15714285714284,221.23100000000002,-0.027205240174672407,47,223.48818074265807,235.47437410773568,209.65762589226426
2024-09-04,221.66,221.78,217.48,220.85,43262758.0,226.30142857142854,221.09233333333336,-0.008618754769493253,48,223.60267565232678,234.00706867518673,212.4869313248133
2024-09-05,221.625,225.48,221.52,222.38,36615398.0,225.6157142857143,221.22033333333331,0.0069277790355444235,49,223.71717056199552,232.61125597272937,215.13874402727063
2024-09-06,223.95,225.24,219.77,220.82,48423011.0,224.58571428571426,221.33133333333336,-0.007015019336271244,50,223.83166547166422,231.61219452747034,216.8888054725297
2024-09-09,220.82,221.27,216.71,220.91,67179965.0,223.78857142857143,221.4296666666667,0.0004075717779186139,53,224.17515020067037,231.02656476347062,217.9414352365294
2024-09-10,218.92,221.48,216.73,220.11,51591033.0,222.40571428571428,221.49200000000002,-0.003621384274138717,54,224.28964511033908,230.6613215592598,218.56467844074015
2024-09-11,221.455,223.09,217.89,222.66,44587072.0,221.5,221.62066666666666,0.011585116532642603,55,224.4041400200078,230.59960055241285,218.7653994475871
2024-09-12,222.5,223.55,219.82,222.77,37498225.0,221.5,221.6436666666667,0.0004940267672686183,56,224.5186349296765,230.5593319020519,218.91066809794808
2024-09-13,223.58,224.04,221.91,222.5,36766619.0,221.7357142857143,221.78166666666667,-0.0012120123894600043,57,224.63312983934523,230.5335298592943,218.71447014070563
2024-09-16,216.54,217.22,213.92,216.32,59357427.0,220.86999999999998,221.66366666666667,-0.027775280898876487,60,224.97661456835138,231.06678757635203,217.20821242364795
2024-09-17,215.75,216.9,214.5,216.79,45519339.0,220.2942857142857,221.9143333333333,0.0021727071005916976,61,225.0911094780201,231.28921967476938,216.07578032523057
